MatchID,GameID,Team Name,TeamID,Result,Pistols Won,Potential Thrifties,Thrifties Won
660379,265454,NRG,1034,won,1,2,0
660379,265454,100T,120,lost,1,3,1
660379,265455,NRG,1034,won,1,2,1
660379,265455,100T,120,lost,1,4,1
660380,265457,G2,11058,won,1,2,1
660380,265457,NRG,1034,lost,1,1,0
660380,265458,NRG,1034,won,1,2,0
660380,265458,G2,11058,lost,1,3,0
660380,265459,G2,11058,won,0,2,0
660380,265459,NRG,1034,lost,2,4,0
660380,265460,NRG,1034,won,2,2,1
660380,265460,G2,11058,lost,0,3,1
660380,265461,G2,11058,won,1,1,0
660380,265461,NRG,1034,lost,1,3,0
660374,265437,G2,11058,won,2,3,1
660374,265437,LEV,2359,lost,0,2,1
660374,265438,LEV,2359,won,1,2,1
660374,265438,G2,11058,lost,1,5,2
660374,265439,LEV,2359,won,1,2,1
660374,265439,G2,11058,lost,1,4,0
660374,265440,G2,11058,won,1,1,0
660374,265440,LEV,2359,lost,1,1,0
660374,265441,G2,11058,won,2,2,0
660374,265441,LEV,2359,lost,0,2,0
644709,258339,FNC,6392,won,1,2,0
644709,258339,EF,2593,lost,1,3,0
644709,258340,EF,2593,won,0,4,1
644709,258340,FNC,6392,lost,2,1,0
644709,258341,FNC,6392,won,2,0,0
644709,258341,EF,2593,lost,0,3,0
644710,258342,TL,8877,won,2,1,1
644710,258342,KC,474,lost,0,2,0
644710,258343,TL,8877,won,2,1,0
644710,258343,KC,474,lost,0,2,0
644711,258345,VIT,2059,won,1,1,0
644711,258345,GX,14419,lost,1,1,0
644711,258346,VIT,2059,won,1,1,1
644711,258346,GX,14419,lost,1,3,1
644712,258348,M8,12694,won,1,3,0
644712,258348,FUT,1184,lost,1,3,0
644712,258349,FUT,1184,won,1,2,0
644712,258349,M8,12694,lost,1,2,0
644712,258350,FUT,1184,won,2,1,1
644712,258350,M8,12694,lost,0,4,0
644713,258351,TH,4915,won,1,1,0
644713,258351,NAVI,1001,lost,1,2,0
644713,258352,NAVI,1001,won,2,2,0
644713,258352,TH,4915,lost,0,1,0
644713,258353,NAVI,1001,won,1,3,0
644713,258353,TH,4915,lost,1,4,2
